time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
44,409,543,334,254,334,304,384,576,310,611,-127274.37019974213,-132334.67560225478,-127218.86044628423,-123375.51588879174,-132083.45736371045,-127882.59950176477,-127305.1936069959,-127486.87334413675,-119793.23411584979,-130022.99422531742
45,430,541,327,270,348,306,413,592,318,618,-127305.96220594582,-132297.5044781171,-127226.71466704101,-123361.30731032079,-132116.02875295267,-127876.76680936295,-127308.12329059943,-127493.50105688849,-119730.51068706636,-129949.4942427095
46,436,541,335,290,361,322,424,640,305,624,-127315.53114111251,-132298.75677458843,-127201.82128498398,-123399.52423704429,-132113.32276316875,-127876.07937351112,-127303.37813013293,-127481.92462419264,-119773.10422399898,-129965.56159140653
47,454,544,341,291,385,342,445,659,319,616,-127356.07049207302,-132198.13388939537,-127190.27629186447,-123402.41693832929,-132091.92453136304,-127878.58296380004,-127301.8012763802,-127478.7673159598,-119751.62600649314,-129964.70493333423
48,469,544,353,299,402,342,450,664,337,635,-127326.57977912747,-132168.6568146759,-127153.00114324506,-123393.63596564654,-132078.36252188342,-127880.2273273064,-127298.77641999368,-127476.34704888523,-119906.05735359652,-129950.23623215502
49,477,538,358,297,410,363,458,666,360,651,-127354.18145312708,-132178.56199412135,-127148.96430085965,-123400.42525441747,-132036.00679679177,-127880.07682414143,-127299.52091792876,-127477.98693918533,-119900.97896962825,-129935.68316753113
50,498,543,371,302,416,359,482,693,372,674,-127414.369956699,-132146.63926875163,-127063.56077133489,-123503.78388442188,-131991.59634327024,-127876.39103469155,-127300.63422155382,-127460.79969865596,-119907.71376722246,-129917.57198043431
51,519,545,381,314,438,380,490,691,390,699,-127461.61862378624,-132109.518289642,-127036.82465935983,-123523.10880210134,-131995.33930208723,-127883.46182889701,-127294.17770874198,-127460.4228626226,-119988.75987254088,-129940.37788795467
52,527,567,400,329,447,398,528,702,408,713,-127491.81584222942,-132106.7247777444,-126980.05179235518,-123521.27352254155,-131966.74767815703,-127883.08420184672,-127276.77148336305,-127448.50953826099,-120035.58868360663,-129912.17712712451
53,530,578,414,318,464,420,524,695,418,733,-127521.31690088772,-132073.44414341846,-126985.11238022236,-123534.05877083789,-131921.85865914132,-127874.33690265816,-127276.6782736291,-127453.3986648354,-120046.48764289243,-129906.34443029352
54,542,598,427,339,477,443,544,704,429,742,-127531.46360675356,-132040.63376786598,-126972.60914011925,-123580.5579472144,-131914.85587329487,-127877.06068344557,-127259.95344421704,-127455.06769499136,-120010.77495872727,-129911.37065480262
55,551,601,425,343,490,435,553,720,447,742,-127522.2097506237,-132008.27514516114,-126974.5523978116,-123560.07021461728,-131900.6154785063,-127880.12666260914,-127254.03779756665,-127464.18369637155,-119995.47522343993,-129919.07468820909
56,538,606,452,366,515,452,568,741,474,757,-127525.29577840854,-132025.48467012934,-126929.12778429507,-123554.04209254924,-131868.3279241353,-127871.6016891098,-127251.60137189187,-127442.19722071663,-120049.1195009234,-129911.5770729541
57,544,608,445,374,515,476,576,741,476,769,-127527.75307411632,-132013.2312923096,-126926.44786436483,-123579.50394608946,-131866.3593057345,-127869.86365387595,-127252.41434447755,-127440.79775397848,-120095.07562483834,-129858.03418569022
58,560,617,468,383,536,481,569,765,474,758,-127580.0197311643,-132016.21197910566,-126929.96809148708,-123586.11882624486,-131882.66020788215,-127873.36960036376,-127249.90736058596,-127450.253362276,-120106.88033623814,-129863.02029254774
59,588,638,475,404,567,494,567,784,478,770,-127554.9359162882,-131992.54579837451,-126881.06575961852,-123607.00668064495,-131875.5941066455,-127864.93957893185,-127250.04932972044,-127434.2265688563,-120090.6746372935,-129835.18203587021
60,599,639,489,422,578,498,588,787,466,790,-127538.12639386224,-131954.7735802931,-126884.84447028775,-123602.74871162343,-131832.05910156,-127863.0168093397,-127250.34754049289,-127454.16604882308,-120077.15657915617,-129813.08839014698
61,620,645,508,434,580,492,593,797,476,800,-127554.68415482258,-131953.64460652857,-126886.41365491846,-123599.70339401753,-131823.91204219905,-127861.14400207484,-127239.85442966281,-127456.22461916364,-120112.93968710522,-129816.30409339536
62,648,660,500,435,592,495,601,800,470,799,-127574.63673270764,-131879.73081409608,-126876.41629475869,-123622.13363466547,-131820.38715176607,-127856.11717353134,-127238.02661458796,-127446.16740664202,-120182.76632358348,-129805.47813799564
63,661,670,516,454,584,494,604,790,494,807,-127575.48517062234,-131879.9456985858,-126849.76678111932,-123644.76508559167,-131826.40365299446,-127863.61644936184,-127241.54948576291,-127466.21545522664,-120173.35555162808,-129793.094665529
64,671,683,529,449,614,498,620,798,513,809,-127615.08978862582,-131850.05978746322,-126885.51231799161,-123676.50883321257,-131798.16668308194,-127862.971256103,-127238.92044382793,-127471.16909629527,-120164.95010057758,-129789.40801392759
65,688,669,522,468,618,518,623,787,516,797,-127622.03587455275,-131840.54387406286,-126878.062815486,-123695.87466180639,-131743.69816477742,-127851.44158980438,-127233.39449900178,-127473.51870631256,-120153.19907496338,-129771.37828069717
66,694,690,512,495,616,533,635,798,537,806,-127655.40366835787,-131836.11813024394,-126822.08266770486,-123702.19065583695,-131753.92636262547,-127844.63949796748,-127234.39674787661,-127463.54359318683,-120195.56138034248,-129787.71171991577
67,690,701,547,497,635,540,635,788,544,808,-127666.35141114972,-131816.69847818412,-126810.65730646421,-123700.15863062162,-131755.44548376376,-127840.03715500496,-127239.13612687579,-127467.87463962586,-120201.30627649833,-129787.76165722194
68,677,696,571,494,652,543,650,794,568,814,-127685.30176929981,-131817.2747297589,-126812.88831922151,-123708.84491859523,-131762.02553513026,-127832.90172472132,-127245.91724896448,-127476.20931381611,-120226.26322356657,-129787.80603974545
69,665,706,589,506,673,545,653,814,588,816,-127713.253835534,-131757.73346513862,-126796.17126781089,-123724.21641581052,-131756.80041440268,-127834.08195730676,-127243.77545186097,-127490.02432843599,-120262.61942531033,-129786.33001945945
70,674,702,583,536,677,542,650,812,619,819,-127738.90760802396,-131739.69432790249,-126790.38932041315,-123728.75731943417,-131738.83095243896,-127837.15468103487,-127241.38021138721,-127492.58668478134,-120268.22138754968,-129786.11486632655
71,685,722,577,565,674,537,673,816,619,813,-127769.82198797332,-131746.33823106906,-126797.47432481677,-123781.55835632428,-131736.33988026078,-127825.47656712896,-127250.16602776943,-127498.39375569814,-120254.3516581979,-129754.27528537471
72,667,710,598,579,673,546,663,843,609,829,-127760.99021520899,-131754.26256831133,-126786.4764009807,-123802.14708302493,-131737.42603037137,-127824.21561781358,-127254.99335400297,-127492.87538996837,-120273.90642760963,-129756.54518892398
73,667,714,598,568,684,544,677,845,606,858,-127787.61043602263,-131745.06924791163,-126762.96051411498,-123798.1459789931,-131713.58108620596,-127815.11440803715,-127255.30970053223,-127490.24779008946,-120264.4392374031,-129731.35362081748
74,662,710,610,562,698,532,684,853,602,885,-127825.13755011921,-131728.81089196357,-126739.47597928447,-123796.8955560798,-131690.72455728007,-127810.96898460305,-127257.15900679507,-127495.14049955376,-120283.91529476581,-129724.9575552527
75,680,702,598,561,696,541,695,839,624,879,-127856.89807028929,-131695.33689586286,-126749.90902092351,-123797.2842086065,-131674.9614255676,-127816.38375448567,-127257.30915320305,-127499.8347880881,-120327.87655994717,-129710.94049494693
76,687,718,596,562,690,545,676,856,633,879,-127858.28591115575,-131700.1915570958,-126746.45659572237,-123801.40095191763,-131670.87907748207,-127808.80400513989,-127265.54132741106,-127493.47172010157,-120323.54198581044,-129711.01297562597
77,681,736,601,550,688,545,686,848,628,885,-127868.25613425323,-131694.13177566766,-126745.39352263331,-123810.94565803953,-131666.50683050483,-127800.10673877758,-127269.01351525135,-127510.35078630019,-120317.23614692209,-129711.8049359637
78,684,726,612,561,689,562,675,871,642,882,-127878.91209643004,-131669.98855920878,-126730.90870318205,-123808.21035388435,-131672.4411681332,-127786.78759257919,-127266.18479724416,-127512.89945854599,-120344.37948462457,-129712.96455970898
