time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
26,61,88,151,26,50,75,58,35,39,80,-0.7316025795587804,0.1479193648781316,-3.1553052551569687,-9.05630212330184,-2.8417941158082742,-3.7452986261435686,-0.0944211316724282,-5.2774626637250215,-3.862116525577045,-0.3260464017789547
27,55,84,140,21,48,73,56,34,39,78,-0.3486329891014404,0.3871368404608997,-2.469475628497907,-7.873409948835491,-2.3559245994357902,-3.220096293584825,-0.06461504952140143,-4.390464557221993,-3.187656781476385,-0.07233736548527256
28,53,71,126,20,44,64,52,34,40,75,0.011891555313383125,0.6922580634353667,-1.6239303642996534,-6.082054838189137,-1.719057377027264,-2.5737644944946343,-0.017227231712675227,-3.1591892083005972,-2.236817022295436,0.24825051996071593
29,50,63,103,19,36,61,47,34,39,68,0.37996674010407233,1.088774393334539,-0.6237555083508068,-4.153530192932821,-0.9799717989879729,-1.8144526551157618,0.031126790777085828,-1.8804476845519067,-1.1776756943713271,0.6451193572417371
30,44,50,81,8,27,46,40,31,36,55,0.815526276647945,1.4732422167513708,0.4733013586653785,-2.010387590784035,-0.17881338985284842,-0.9351673289774411,0.08723657374082476,-0.49288228085380753,0.036695468738171054,1.026722872273127
31,34,32,43,0,13,26,26,25,27,28,1.24159639781055,1.8737737423839331,1.605622254445386,0.28019479231942307,0.6712626141700868,-0.029408148278369742,0.14223385368670216,0.9709737191396756,1.2925652725279713,1.502529395463852
32,30,32,42,0,13,26,31,28,24,29,1.6411983397267842,2.32182976102107,2.801026872204429,2.583482748828419,1.530351666481258,0.8805940990674963,0.19870445798598768,2.4139427015405897,2.5400326577588914,1.9796521212110916
33,44,52,76,6,30,49,44,35,34,50,2.049083124644114,2.7201795345484685,3.8956116804693264,4.845998315266686,2.311523989012508,1.776832581495984,0.248458085090656,3.7718553177287517,3.75862123506476,2.4405230891221517
34,50,66,105,14,42,60,59,37,37,64,2.410571884818753,3.115491507866694,4.967065723723661,7.014688552501807,3.06753883643722,2.602649337123386,0.2977823022942728,5.042926328905599,4.932085854215925,2.873944377259802
35,58,78,127,20,47,70,68,38,41,80,2.653355347671864,3.4634356728306255,5.884454644668857,8.869242342087105,3.7539771911032846,3.3317804366990593,0.3348833469439287,6.10221784270594,5.937747096925528,3.2290931644719625
36,61,89,146,23,55,73,71,42,42,82,2.899892635115293,3.743148659894276,6.611219725433283,10.420191560850935,4.355732000894945,3.9426582397976437,0.36626769007448956,6.994962537881873,6.836450741261654,3.5558360303391017
37,64,96,158,26,58,77,74,43,42,83,3.0959097325171294,4.001206012981784,7.225673597691713,11.609145366449413,4.764594808603395,4.337442061742453,0.3872729281308194,7.696487595438583,7.498874576941278,3.8027477280449626
38,66,97,166,27,58,81,74,44,43,89,3.2182596826418974,4.12564605722989,7.567913679098278,12.225552289345156,5.056575019437645,4.614051237684131,0.41661655977051026,8.136013270022028,7.920767317038695,3.9403174826727003
39,66,97,167,25,59,83,74,45,45,90,3.2410438442211444,4.197221501338728,7.703834733203459,12.729175285597883,5.189641013947872,4.735759000217936,0.42953810858866265,8.3137072011675,8.048665587786182,3.9988984330405875
40,64,97,166,25,57,82,75,47,48,90,3.193598818115388,4.093136613333299,7.583762229150445,12.57784570152416,5.111171109104654,4.691787667478237,0.42686466588116667,8.190094554335149,8.031974120456173,3.9787599115441217
41,62,96,159,23,57,79,76,49,48,88,3.1167363973949,4.009694176514602,7.361202425249156,11.847808521327547,4.901502092840667,4.483352405073007,0.40842947649657046,7.806721520802707,7.700593063553567,3.834031667087431
42,60,91,152,21,55,79,75,48,45,88,2.925500559588294,3.8076322978900015,6.821316170867937,10.73156974345444,4.5545904131985315,4.062169015765834,0.3988344608381979,7.1690331066162445,7.168064389373286,3.6313584424602845
43,59,82,133,18,53,74,74,48,45,85,2.7151314932107926,3.538960004900457,6.174535605161668,9.36404152805175,4.029780371515966,3.5128038027635555,0.37665579721639836,6.31843076463231,6.427818665591396,3.3580301461791913
44,57,74,119,12,48,65,69,43,44,78,2.4551881339882087,3.23255998312781,5.295050753302699,7.720928828375174,3.3956453210474207,2.872712139017891,0.35090166819845003,5.339376919238298,5.491928163998227,3.0121930871817884
45,53,62,95,3,36,53,61,40,40,65,2.146864067654529,2.876216106537513,4.312727950506565,5.799034885868592,2.6673874456498,2.1361445825150533,0.31492205721016103,4.1724568269605635,4.409848130575493,2.6273366739557447
46,43,44,65,0,20,41,43,35,34,43,1.8147070629754194,2.4814113975315033,3.242739075955358,3.669621981265278,1.90564528992853,1.3337123452326536,0.2751140083784941,2.9553025527339054,3.2003214337583943,2.1996527670516257
47,11,16,6,0,0,8,12,13,16,7,1.4702496551598805,2.066507881174942,2.1775053270093396,1.4996908035049066,1.105092077944281,0.5091880925118307,0.22960234442458496,1.7007694050119466,1.9430918423962842,1.7538982953390798
48,40,46,63,0,18,38,36,33,36,40,1.1283433366933397,1.6591640681316902,1.0931114712118202,-0.676014041739392,0.317894771976118,-0.31320406054892413,0.17879051754239594,0.45265176948126423,0.6866907522792651,1.3108619181829706
49,53,60,100,3,31,56,52,37,41,64,0.8028750651291908,1.2872854819877597,0.05615995468436166,-2.768088067445122,-0.43494071115597555,-1.1072293114826501,0.12847827700655698,-0.7291735623180239,-0.5319045024014192,0.8860945453196184
50,58,74,117,9,40,66,67,42,47,77,0.5029198207645522,0.9350967198816775,-0.8878730291440351,-4.6259135464505405,-1.136551076560986,-1.8414551390660785,0.07174379600846248,-1.7782265869265952,-1.654712961694593,0.49682647618100867
51,62,82,133,16,51,75,70,46,48,89,0.2418515134294569,0.6235290399783865,-1.6904440188435053,-6.319790685915245,-1.7195027353723156,-2.4527049849519527,0.035062429683715,-2.703432790728812,-2.6363267199070406,0.15317225904196496
52,68,93,144,19,56,82,71,47,51,95,0.08594518779232167,0.3792900338895477,-2.3584470773244592,-7.656259759227748,-2.2127166821973083,-2.9497485608914285,0.006805180013552308,-3.4648130996577997,-3.4334148308198498,-0.13735036782588642
53,70,101,161,20,61,86,75,47,52,97,-0.03792767423629864,0.1757583362620522,-2.819850789183365,-8.710869622693279,-2.5861807669816868,-3.331882913858758,-0.01637470739918483,-3.9906557398537794,-3.9866878984410743,-0.3252538608089416
54,71,102,168,23,60,88,78,47,53,100,-0.119960406717627,0.06637538197993886,-3.1232823546545334,-9.332556601461276,-2.7981038196018684,-3.5454522909925124,-0.03280433163382016,-4.288249185562119,-4.313288442257733,-0.42626492942198757
55,71,102,167,23,60,88,79,49,54,100,-0.1514480588076843,0.03676272802123094,-3.200247110475462,-9.50379293124472,-2.8403732622507745,-3.601852116381218,-0.03907961090148181,-4.400035810967553,-4.352072855799645,-0.45256157021825144
56,71,99,167,21,58,89,78,49,54,100,-0.08542771254853966,0.06378070444745257,-3.0776425030380783,-9.256456751572843,-2.7170684487889427,-3.5075232104797394,-0.02113791681889367,-4.225321971477164,-4.146279269717149,-0.3878596907262354
57,72,95,162,17,57,86,77,50,54,99,0.03990577605247187,0.17598901045414814,-2.7586457629730257,-8.598974060923023,-2.458078630061428,-3.2574344631212933,-0.013115172289979334,-3.823628474850544,-3.7391444470608763,-0.23281884368539937
58,70,89,152,15,55,80,77,49,53,98,0.2194981099217923,0.3680836470061716,-2.2651681762825517,-7.418220625954033,-2.0972467328869002,-2.8369317912505765,0.02235464537539584,-3.2310825754596837,-3.140550706121904,-0.02872457919021787
59,70,86,134,11,51,75,71,47,53,96,0.4347117463892093,0.6236155831092086,-1.570895125223649,-5.9904798040679905,-1.5829456191221685,-2.3031285621398565,0.060161797788154864,-2.478696842890647,-2.3417263240751445,0.24878169308922257
60,66,74,113,5,38,67,67,46,51,78,0.6615774216868475,0.9292190973888284,-0.7492698357798958,-4.323448313875382,-0.9952455935081352,-1.6697552199208197,0.10573802952043802,-1.5591053329369635,-1.4089964298764723,0.5585648730246139
61,60,63,101,0,29,56,56,43,48,64,0.9185782823671897,1.2826658758054637,0.1724171048728846,-2.4965405226081208,-0.31671505416891976,-0.9565684406707949,0.17041882995675228,-0.5229911536741098,-0.3508164726301849,0.9223090307130417
62,40,47,58,0,10,38,37,35,34,40,1.1886245504506585,1.6566264051040767,1.1521009246177893,-0.48026155547614924,0.4058509730858127,-0.19287918033320772,0.22944441864618315,0.5879335792634969,0.777057070796034,1.320175476966712
63,10,13,5,0,0,5,9,15,16,7,1.456879419054296,2.032309988236599,2.158251232633372,1.5767625123941365,1.1460817426786074,0.5850511530408343,0.29142044888612284,1.7265433846524487,1.9470479916355774,1.7362921566807128
64,46,48,63,0,18,40,45,39,37,44,1.7200992707780451,2.414766644587371,3.1437403565204476,3.5937318854755307,1.8652046439871917,1.3631519931333618,0.3534058066592808,2.849820033495123,3.113343665448722,2.134499870890255
65,62,67,99,0,33,57,66,46,42,66,1.9725048868519461,2.7733866262735005,4.0775976690985365,5.495665557658419,2.561374093307528,2.1102717424960478,0.4124848644787603,3.9210828520545595,4.209140814573895,2.5236880948000975
66,70,76,117,2,44,66,75,52,49,77,2.1970677545978585,3.084484780728981,4.9373441866402095,7.245081584149389,3.178642142505754,2.788005182926197,0.46407804186236756,4.854345154858009,5.18317655579854,2.8446654402640403
67,76,86,127,6,55,75,84,52,52,89,2.347962513400666,3.3883720758396803,5.645514670391705,8.72325487738307,3.7067833647051174,3.3845935454194227,0.520971498190179,5.675776453434976,6.0562584181718515,3.158585520962261
68,81,90,142,9,61,80,88,55,53,93,2.4889689047448855,3.623640254216208,6.216981026059065,9.91859267591831,4.1232068664037085,3.8731985273736127,0.5542201431490461,6.289319551361233,6.687036406977185,3.4224870784219563
69,85,97,147,13,62,88,91,58,54,99,2.5442022101579336,3.7622027453520284,6.651331139756923,10.789508263287287,4.440634396394616,4.199646218999681,0.5902741578386246,6.742681289295271,7.179293667538865,3.613728011892851
70,86,97,153,13,66,89,91,60,54,101,2.565078450302552,3.8576135005692396,6.886725344516775,11.201175530189584,4.613433531964408,4.391531911061887,0.5777724612276555,6.923270608336362,7.428872579620731,3.685294761217833
71,88,97,155,12,66,90,90,60,55,102,2.5661011141956265,3.869582099821044,6.897767153120394,11.249344903087529,4.644284237845595,4.4017072581136505,0.5650520081887966,6.900797723676965,7.4786622447030515,3.6920043666091344
