time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
27,23,17,33,38,51,16,23,57,43,40,30,49,34,53,81,58,20,87,20,47,8.863215543553487,6.044820535020251,33.674518235759656,2.699306076742657,20.30014579052619,12.859305354037081,12.965614549177571,7.324766549446102,30.201603009057717,2.995838700718281,18.641521625642763,16.642950241360055,14.391334631415255,-0.3902396961208988,2.1211312171512957,5.791202204096615,1.6877205936260198,3.400662637466239,-0.6934526643274461,6.3835532625271
28,24,17,33,43,50,15,22,57,43,41,31,50,35,50,83,58,21,89,21,49,8.898995403770899,6.117533569979083,33.34799869296993,2.6955499234025275,20.44130843556975,12.819572798697084,12.913353731211561,7.184748651131015,30.259880247047242,3.0410141290808745,18.8176920258014,16.611625132126623,14.3874414811042,-0.37230405198913724,2.106112694090472,5.803294624249958,1.6924843472867008,3.3546939649587224,-0.6919643502803453,6.475899811170185
29,27,16,32,44,50,15,23,59,43,42,32,51,36,52,85,61,21,93,21,49,8.948362207701985,6.154550011330458,33.15434051562676,2.747797578497339,20.16292540246041,12.865530010813542,12.996261220065408,7.174804659992054,30.660552594204553,3.0648530899296884,18.39852980895484,16.59284008708585,14.483020811954047,-0.3514171821606737,2.1371272694411694,5.807921231612623,1.681037191175442,3.3254373809095212,-0.6917818630079816,6.561490007830501
30,27,17,31,44,51,15,23,59,44,44,35,51,37,50,87,61,21,96,22,50,9.049569302031532,6.281805651735547,33.42649585829621,2.715163175553207,20.14880425046992,12.961874336992468,13.09615492429733,7.048847418374166,30.326595603704842,3.101715402727788,18.80026382840824,16.679002450996393,14.445708297506366,-0.32586645568925304,2.1410390143428355,5.726598765239559,1.6747627582715576,3.353873541337791,-0.6851986680449144,6.5360825639586455
31,27,17,31,46,50,15,24,61,44,44,33,51,37,51,86,61,21,96,22,50,9.038793649228618,6.416468157236248,33.29413527685534,2.799238877048251,20.005269902141087,12.972099876172054,13.169360040243847,7.167226408294803,30.80507595508724,3.115796442962908,18.81604515674378,16.546205200135628,14.484741762919688,-0.3019971126647545,2.1527526300085666,5.766522793688036,1.6760764607439074,3.357837702258508,-0.6851795952846542,6.410347507543086
32,29,18,31,45,50,15,24,60,45,46,31,51,40,51,81,62,21,98,22,51,9.156384039338135,6.3961394495426545,32.86022540954653,2.8790789012709914,20.174282472162574,13.007073258804066,13.282049873034692,7.181762659249557,30.6230272835854,3.15369110838614,18.99934540493279,16.312748393888555,14.525489455491755,-0.28468182365593536,2.1477924716336454,5.803967180237611,1.6890879909403993,3.3589949638491503,-0.6864550805279769,6.434981737039241
33,28,18,33,47,50,15,24,60,48,49,31,51,41,50,78,62,22,98,22,52,9.256550496107586,6.45628938218734,32.84743907144244,2.926397724606472,20.351709640412775,12.996933133834293,13.235719116992252,7.274431897164243,30.39767648135119,3.2061089597984114,18.75721292248003,16.364653069430126,14.517031756865753,-0.2672293063732159,2.1694813720758757,5.7765709096955655,1.7053843164800193,3.361847264681338,-0.6815872357997698,6.469448302177088
34,28,18,35,49,50,15,24,60,52,50,31,51,41,50,80,64,22,99,22,52,9.23049395481542,6.544070771706097,33.01055399088841,2.994383399027745,20.27332826633768,13.02266472820657,13.316075848532863,7.420642369006873,30.552207220230216,3.1632968806236503,18.956339032198006,16.446600719345966,14.374485361858918,-0.24796305543313868,2.2035377363890385,5.735606382570062,1.6912477610941021,3.3121520605657424,-0.6843032989872804,6.461525195270047
35,28,18,33,49,49,15,26,60,53,52,30,53,41,50,80,65,23,100,22,52,9.257334985838186,6.561808447316572,33.066242328508245,3.0686394860811887,20.432646955214874,13.06488170576457,13.07848788022772,7.4460420926573585,30.495367539909232,3.220334731655188,18.66579869426133,16.47017893500222,14.140459273471212,-0.228870517928357,2.2043869046741857,5.710231457729147,1.7079606754788543,3.3010806765832914,-0.6835264501527057,6.2781004419968065
36,29,18,32,49,50,15,25,61,54,52,29,53,41,53,82,66,23,102,23,52,9.306288977115997,6.6527324110973085,33.203442112477276,3.104402320704659,20.52107155834127,13.105917551238662,13.184954451439951,7.534876768429057,30.19870755710545,3.2623873181237037,18.750453669227007,16.566690693519618,14.259786748530901,-0.18211257169332143,2.228498591947549,5.7268537395552555,1.6901892633684328,3.283263295329337,-0.66685768147862,6.317605871754236
37,30,18,33,50,53,15,25,62,54,55,30,55,40,54,80,68,23,102,23,52,9.383314074207746,6.765497386552003,32.80497239346337,3.141651652271896,20.167060116979336,13.11510781540253,13.142484456560021,7.487423795489663,30.22985942549153,3.3371054945869307,18.738828075668263,16.552593145791416,14.276118617263364,-0.15921857065367429,2.2323908095019,5.7425075245016375,1.7061651755020304,3.282419880340004,-0.6687585775574237,6.295537706393685
