time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
23,95,84,49,72,43,68,49,45,57,29,59,46,39,36,33,23,36,25,37,35,-1494.3745428316422,-1401.513485900578,-1325.182856191637,-1238.339077066963,-1181.6584249157233,-1100.7031678429578,-1005.8736403019558,-937.1485815035718,-840.2028498407573,-772.8818301099676,-706.7610815863571,-609.4718460530693,-525.7560486159248,-441.88318095184127,-380.3762033475417,-303.6567026427397,-221.14429387136028,-150.54805890460514,-57.11997152902932,14.822464700141547
24,99,84,49,73,42,69,50,46,57,29,65,47,40,36,36,23,40,26,37,34,-1494.427442243633,-1401.4013117842048,-1324.9739084608154,-1238.071115358657,-1181.57447955658,-1100.708007933928,-1005.8950292542239,-937.1917617071042,-840.0518630535523,-772.7874000500477,-706.7376804957978,-609.3383793013744,-525.7135609597827,-441.3652661604469,-380.19046991893765,-303.68708129546656,-221.167714419696,-150.47832098706184,-57.381285074600015,14.81969833033419
25,100,87,50,75,44,69,50,50,58,29,66,48,40,36,37,23,40,26,36,37,-1494.3697423780916,-1401.0466140193175,-1324.4851547289336,-1238.8868701003241,-1181.5147969217317,-1100.6703181083026,-1005.9652350026348,-937.1489400407413,-840.479218806083,-772.6919833337774,-706.6754910136615,-609.1840258991083,-525.5023371976938,-441.29865703910747,-380.19316323656136,-303.72302753638843,-221.14318584787787,-150.47501960114514,-57.679958470580665,14.778944662684712
26,103,89,50,78,44,70,51,51,58,29,66,48,40,36,38,22,40,26,36,36,-1494.3757383004431,-1401.424893856216,-1323.0324355715447,-1238.635934741719,-1181.4529957692798,-1100.5995291450488,-1005.9029893048651,-937.2085960150224,-840.3986501763363,-772.8219555633578,-706.6355257688841,-609.356127739976,-526.4078668043799,-441.0972870209315,-380.0650784860339,-303.8725768367222,-221.32131935749396,-150.45360243897088,-57.66828178193394,14.857753760849967
27,103,89,49,79,45,70,52,52,59,29,66,49,38,38,36,23,41,27,40,34,-1494.376451703818,-1401.2083928421935,-1322.7149614988305,-1238.9845403294064,-1181.4283623161853,-1100.5610293140282,-1005.9661766706238,-937.1453309860716,-840.2690826517432,-772.6278406567967,-706.6005613325245,-609.5594351643872,-526.1046208797165,-441.7008980659952,-380.1056610623013,-303.6607125614409,-221.37599270159407,-150.3931196559301,-57.4757685831077,14.822352396518786
28,104,91,49,82,45,70,54,51,57,30,68,50,39,38,36,25,43,28,41,34,-1494.333687316778,-1401.1422729939202,-1322.5307363708305,-1239.1655293541926,-1181.3750863070434,-1100.5783496621837,-1005.8256396996538,-937.1151840362569,-839.9680800033784,-772.7409752313102,-706.5320154280724,-609.7795419234465,-526.153122640339,-441.8423718456248,-380.0244838900876,-303.5544166034235,-221.15639844437652,-150.36038463288588,-57.39137925993981,14.785193107398799
29,104,90,50,83,47,67,55,50,57,30,70,50,39,40,36,24,45,29,42,33,-1494.3652362396379,-1401.0312590447318,-1322.5160965039797,-1239.1118608901431,-1181.3323744487254,-1100.545745508078,-1005.8079392814772,-937.4897935817288,-840.6636927272859,-772.5834998607639,-706.5123422182016,-609.5902804025563,-526.2303439795709,-442.3351203866536,-379.94356782475387,-303.61533191054855,-221.08086598111896,-150.33751771260387,-57.23459988366533,14.778828076499721
30,103,92,50,84,49,68,56,47,56,31,70,51,39,42,36,23,43,29,43,31,-1494.3446745169977,-1401.0789039832625,-1322.4139927191234,-1239.1484094407547,-1181.286377461073,-1100.541986095728,-1005.8408284516399,-937.5444273166372,-840.3867355940979,-772.7230462353541,-706.4383526388408,-609.5098548607706,-526.5155481912075,-442.8307219984955,-379.77806548998456,-303.6424051772143,-221.01587902380737,-150.27677551490314,-57.30385969855473,14.858760376966472
31,104,92,49,84,51,68,56,50,58,31,70,52,39,41,36,23,45,29,45,32,-1494.3428148283297,-1401.0918810474425,-1322.2346282909925,-1239.1545575793002,-1181.2406532770895,-1100.4425851309056,-1006.1085689547489,-937.4645062631249,-840.3068815400369,-772.710957007535,-706.3816514536378,-609.456800911767,-526.3223544544535,-442.5193719897141,-379.9884110259909,-303.51660721549547,-220.99965202288587,-150.26620792308591,-57.19729253087763,14.957927704193601
32,103,94,49,83,49,68,58,50,58,30,73,52,42,41,37,23,45,29,45,30,-1494.3378821381887,-1401.4822954040194,-1322.1580373383433,-1239.1639476879354,-1181.2530828020417,-1100.3640107108454,-1005.8614578758448,-937.354354455025,-840.4912220233751,-772.7067789150777,-706.3304820672568,-609.3981205117724,-526.2374206472589,-442.4170393551497,-379.9582374573991,-303.5233899967427,-221.01238032981556,-150.2953095218236,-57.36460018636434,14.868486953607755
33,104,95,47,85,49,72,59,49,57,31,73,53,42,41,38,23,48,29,46,30,-1494.3162826824307,-1401.311600535836,-1322.0888295673587,-1239.2318891774526,-1181.19429914196,-1100.324094943932,-1005.8756366151686,-937.2661780634372,-840.476497831785,-772.8052216267703,-706.3221216747845,-609.4239870448288,-526.1884526690334,-442.7808786012598,-380.17394801308643,-303.70604785759366,-221.05012516856377,-150.2728919474401,-57.30002689090847,14.94251335639868
34,105,98,47,86,53,73,63,49,57,31,74,53,41,42,39,23,48,29,46,30,-1494.308784731567,-1401.3924849653897,-1322.1661661408905,-1239.219624072724,-1181.153602216041,-1100.2686631216357,-1006.0126658797748,-937.2492779095468,-840.4332113414953,-772.8447043819818,-706.2861023992779,-609.3463047979955,-526.2509062626831,-442.5880800317597,-380.04668637817997,-303.62006996474213,-221.20128749727996,-150.25688897511026,-57.29018397693094,15.064099817826238
