time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
86,5929,5531,5387,5616,6045,5651,5740,5560,5591,-1021.668140919565,6573.277889881947,-1464.263635890773,984.703956216733,-3560.7564371621775,-1307.6509472557104,961.7429689741637,931.7890045630293,3418.858331133716
87,5912,5453,5351,5574,6023,5634,5758,5560,5527,-1035.8514344087002,6543.445543505278,-1463.2239292185343,978.9572768556187,-3539.4019460269606,-1301.8015972302178,959.823065519203,936.3584170670952,3388.9281318618105
88,5790,5385,5268,5546,5937,5585,5771,5390,5479,-986.6318472745281,6270.375373383655,-1392.7970682252417,935.1528570616508,-3333.2212374688233,-1242.972298953261,918.3451094837176,903.8374260673634,3250.7050027695677
89,5726,5257,5084,5423,5724,5429,5655,5312,5357,-900.8970073595162,5722.779516795045,-1271.244011765437,839.5662519787375,-3047.1114432922577,-1129.4829481861598,846.7546583860325,817.9886106737183,2975.031798834295
90,5506,5077,4810,5182,5369,5139,5429,5136,5178,-782.2835438364318,4937.769055847282,-1104.7946173540122,723.012385775381,-2612.4565364054406,-976.173513997092,730.0854243847707,701.2950982090019,2555.602724696712
91,5228,4753,4531,4850,4969,4784,4989,4830,4833,-623.20555687364,3986.018564362259,-884.023351573764,582.9753991710854,-2112.405557663365,-788.3334627687245,579.7957727175499,565.655205500331,2044.1788156169166
92,4634,4258,4030,4383,4420,4241,4414,4267,4364,-445.99159927130256,2864.7933314278403,-638.25042747413,422.36549672600825,-1515.935617515098,-559.400497731096,416.9232319216528,408.10075739128416,1466.2179000831559
93,3588,3393,3233,3502,3524,3336,3482,3419,3591,-251.4018425925159,1629.712726185572,-360.6548918566417,242.8883307026737,-861.0874227382426,-317.459749673643,235.5968798519329,232.77653963203414,834.09726432569
94,1143,1072,1052,1210,1099,1060,1131,1124,1452,-50.32132560605187,326.9137649713201,-72.494284651976,48.79630831921067,-172.63449456324628,-63.613120860314,46.92677195742575,46.67279308993485,167.90162949578408
95,2637,2506,2513,2790,2699,2553,2623,2645,2764,153.30751641052095,-987.3812844119944,219.63493578011227,-145.5730125840435,521.2462909425656,194.19150583680442,-139.33894791552905,-141.51286689688254,-507.22703114827374
96,3867,3820,3706,4037,3940,3754,3750,3964,3860,353.3753088810907,-2261.10542635824,503.74964100081115,-333.34670942302535,1189.9956658509166,445.638818155463,-317.6895989414865,-324.0272218332803,-1165.733632764735
97,4441,4362,4252,4654,4580,4333,4371,4681,4348,543.2248469782496,-3435.3850851651855,773.5430767635953,-510.50797280659066,1815.1322466211643,679.5433668083201,-481.9331042148465,-487.64136907666915,-1783.2857293649524
98,4822,4698,4619,4997,4993,4689,4757,5154,4685,710.6220306454467,-4474.103826864286,1011.4823182067197,-666.938154625796,2353.5339127335305,882.1852725523615,-625.5268951566,-632.5295571622433,-2324.4671412755947
99,5001,4859,4786,5157,5190,4975,5024,5406,4860,847.2999034354061,-5313.14065919534,1212.5206989230428,-796.9432604160238,2796.7887661640298,1053.9497425369868,-740.3183917276914,-750.488800632854,-2777.5858635964178
