time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
28,29,21,11,63,15,30,25,16,27,27,72,18,34,34,36,-1.0500507373709562,3.3236347290122836,-2.7346623639881082,0.6538418941610505,2.4698981826140454,0.46867572761950693,-1.488366447757025,-1.8256315254664177,7.4017408758319485,2.5310257885128236,0.33686193332649056,3.603480107165894,-0.6523940945141629,-3.56320810676114,4.843248621248713
29,29,21,11,63,17,30,26,17,27,27,72,18,34,34,36,-1.0257068315178155,3.3556321686931434,-2.7529250581290476,0.7064080619493416,2.4441672377948325,0.48540780367411984,-1.484033023580849,-1.826370581099658,7.4169731997051,2.4608173834846268,0.3290196322093851,3.6242460358879303,-0.6412448546828121,-3.513843597272942,4.777960476494721
30,28,20,11,62,18,31,27,17,29,27,71,18,34,35,36,-1.0264022260208665,3.3735265977878575,-2.7112538590005277,0.689723795636889,2.44537161524672,0.48432891429726216,-1.4808937042342325,-1.7678141316034992,7.467618409184431,2.467635884524344,0.3355680117174757,3.625301540268437,-0.648992621875275,-3.491686719191081,4.7046680646184456
31,28,21,12,66,18,33,26,17,29,27,72,18,34,34,36,-1.0212866875353348,3.4001085448756263,-2.7132808440522567,0.6346321154195376,2.4705237861871243,0.49200457517174717,-1.4615255727213001,-1.7518152439933814,7.354657831750024,2.4628251757020494,0.3374991334713356,3.5544219509989987,-0.6503161528478393,-3.4768234113934837,4.656116635475202
32,29,22,13,65,18,33,27,17,29,26,74,17,34,36,38,-1.0321196464076667,3.3441555210974894,-2.700244006045015,0.6481500267280511,2.4850690842847896,0.4892300112855556,-1.4826769061606986,-1.753665920627753,7.355908399672417,2.459616378854928,0.33634293582775016,3.5459448756563563,-0.648166532789562,-3.460937157589828,4.698849313916152
33,31,22,13,66,19,34,27,17,30,27,71,17,35,35,38,-1.0333902086988875,3.3380849678496753,-2.6479674996406524,0.6304587868039938,2.4934870786588936,0.49334135860976014,-1.4539594831851903,-1.7252899387365825,7.40746298297716,2.460944816964499,0.3276854930456946,3.5380227542201426,-0.6430245626595417,-3.4457344273929262,4.732626481546219
34,31,22,13,66,18,36,28,17,30,25,71,17,35,37,39,-1.035281981774168,3.3490830201629356,-2.6548660971455016,0.6283449894825003,2.4571340739544794,0.4836462424863841,-1.459367273924143,-1.6813472723042524,7.435910030211811,2.4435949341521286,0.3270675612793533,3.49162865943918,-0.6432281658736101,-3.442684702162406,4.614682764188968
35,32,22,13,68,20,36,27,17,31,25,74,15,36,37,39,-1.023563049519562,3.3551058773953124,-2.688155670379534,0.6251211700476037,2.461774280507252,0.4685823716269858,-1.4586308423480225,-1.6870431460975288,7.368075323726983,2.4518160352211646,0.32652981941505105,3.4903715744228556,-0.6392842581407164,-3.472400430163684,4.63633472154567
36,32,22,13,67,18,38,28,17,32,25,75,15,37,37,40,-1.0101535053452806,3.337515928742372,-2.660940689205476,0.6251476094644698,2.471646712472663,0.467310868201216,-1.4686013221511058,-1.6173405787000161,7.212805803440729,2.40281674499347,0.3260471381373837,3.4712933870282225,-0.6345958271377552,-3.4865659366519965,4.665577775757396
37,32,22,13,66,18,39,29,17,33,25,76,15,38,39,40,-1.0015500373385149,3.296312356738822,-2.6594620047240465,0.6126633126602027,2.4600978921262975,0.4673682745849429,-1.4437666789422914,-1.6018283758989715,7.161707913421536,2.4020422990530363,0.3265230132575549,3.4795079264202484,-0.633310904257817,-3.4119494992107144,4.626474532864221
38,31,24,13,67,17,39,29,17,33,25,76,15,38,39,39,-0.9943519711520095,3.2834571895203966,-2.6346623566213916,0.548155756134659,2.465888325194758,0.47670335356136395,-1.4277163527190297,-1.5582961387482486,7.211764176823292,2.4036192018369444,0.32351865229295723,3.4504461051229716,-0.6325500980187059,-3.410659645129785,4.57443852096892
39,31,22,13,67,17,37,29,17,34,25,77,15,39,39,38,-0.9976455445890904,3.29770669118019,-2.590761325276682,0.5638363457463264,2.468166366543351,0.4802912316765222,-1.4159586520809109,-1.538589702215467,7.207532204197433,2.3842101399581948,0.31327584904733,3.4475166092111844,-0.6236701272669005,-3.4116993824908564,4.528710398347639
40,33,22,13,63,20,37,28,17,35,26,78,15,37,39,39,-0.9901369487549652,3.297067965207422,-2.6066861915986617,0.5540224312184671,2.4623472561929685,0.4940336622801467,-1.4112224929425332,-1.4856254883441744,7.134646943517838,2.3910179920938077,0.31386812924576185,3.354778453202417,-0.621143933078681,-3.395178085660532,4.547165727794186
41,34,23,13,63,20,37,27,17,35,26,78,15,38,39,40,-0.9737484368571274,3.2555710075956497,-2.575086218824946,0.5623998547406299,2.4531076842160093,0.4969563384971879,-1.4088113807017806,-1.4504783489847224,7.1698871279731655,2.360225307007154,0.3126050119620398,3.352105201044599,-0.615649882638843,-3.3786636538825476,4.5777303963455775
42,36,23,13,63,21,36,30,17,36,25,79,16,37,38,38,-0.9848537317522966,3.255914235327712,-2.589132080953973,0.445421787304128,2.4140162703006,0.49488865271741134,-1.406415582810545,-1.434300739605674,7.112749806705884,2.345478652905819,0.3083067249504838,3.3420546737738626,-0.6173339269667364,-3.384566305671556,4.531484359425974
43,37,23,13,64,20,36,30,18,37,25,80,16,40,38,37,-0.9796317144070047,3.2612662749029755,-2.555402429725196,0.4450736106498676,2.424691633917836,0.49755690954536486,-1.3999698366148259,-1.425216491378663,7.217665294037917,2.3325506305069874,0.30818592344016915,3.3259105563710385,-0.6036654270657944,-3.379386660939068,4.564671649789221
44,36,23,13,64,21,36,31,18,36,22,80,16,37,39,37,-0.9584991391915041,3.2039646069782877,-2.5459024464824327,0.4038285192303855,2.390058168721326,0.4956165056020073,-1.3898772641136785,-1.4142182291063907,7.227014630696651,2.342872675414957,0.30420297965395693,3.2902026376910185,-0.5989870561355868,-3.385036037024311,4.519149310360553
45,37,23,13,65,21,37,31,18,36,22,80,16,37,38,38,-0.9633035553291462,3.1930674254668294,-2.5256569418773878,0.3665062973624907,2.394776502995854,0.49082256685288156,-1.3708770328309698,-1.391653664356008,7.292433970809851,2.3261906046372065,0.30471747017711914,3.298427953845312,-0.5948006555419975,-3.311681003627533,4.490546060366732
46,38,23,14,66,21,37,32,18,36,22,81,16,38,39,38,-0.9623680961309499,3.186766537986379,-2.505496507308123,0.33583206976629765,2.3823997287200007,0.49993238930854456,-1.3696702035866692,-1.3888185876948576,7.358643601482064,2.317959760364732,0.301603301208042,3.302215505828236,-0.5996179375854958,-3.2926099646267026,4.435455943264895
47,37,23,14,65,21,36,32,18,36,23,83,16,39,39,38,-0.921024190870327,3.174759171783918,-2.5099347008603727,0.3236300380801827,2.3771188102967096,0.5022888145877837,-1.3673453014612813,-1.3646522891799233,7.354843901247147,2.2903008847311352,0.30319151398025324,3.295116984212535,-0.6000838239516344,-3.2728185135246766,4.374194478015028
48,36,23,13,64,22,37,32,18,38,24,85,16,39,39,38,-0.9307491153436381,3.1397888887579697,-2.4918249529616974,0.2545447060857198,2.3850220176429824,0.5037851687343817,-1.354113285252801,-1.321904956233152,7.3227853605103626,2.2880640411872477,0.3059390884277158,3.3005313774986464,-0.6027339888238269,-3.273363446183213,4.377173807833932
49,36,25,14,65,22,38,34,18,37,24,84,13,38,39,38,-0.9293219223922797,3.1294813892693765,-2.4908100982991295,0.14489879017249374,2.387938697641303,0.5091748365391369,-1.344323727654787,-1.3098428495557128,7.2851899005485246,2.271303459730232,0.3068493680383684,3.3021130108119485,-0.5926902335411027,-3.283310445773106,4.410391891262492
50,38,25,14,66,22,38,35,19,37,24,82,13,38,41,39,-0.9259789474996319,3.128486783698434,-2.4954583745864034,0.1320290967465829,2.387552964466609,0.512879562000272,-1.3400048080165554,-1.2966028699976357,7.24817968769485,2.251833640476282,0.30930762838294934,3.2527353778466597,-0.5888978568316233,-3.2828600728195547,4.416291931652038
