time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
30,5812,5735,5767,5727,5821,5783,5784,5762,5737,-28.863382912529342,325.73588987320466,245.98800285933092,-264.5631345748634,145.74933979443063,-383.41106869282424,99.65752633089696,179.86136003823597,130.85800712892956
31,5796,5768,5766,5736,5788,5758,5789,5806,5739,-34.95921107493374,302.48308979673186,259.31371202708715,-229.94100462261065,151.8287344110797,-383.56609447587067,102.16394417447141,180.21674426847667,152.67796686451314
32,5772,5766,5751,5742,5788,5772,5843,5793,5736,-5.995088864086072,282.1293697757562,223.8894572703163,-239.36248094680943,92.69180777758625,-379.36811511396,94.20348457363058,134.4943434640494,116.68201307166244
33,5782,5721,5719,5778,5746,5743,5832,5797,5742,1.5849348394758171,276.6079787186669,273.2544106942346,-241.5792850738343,102.58451112306035,-315.8258083403745,27.920273184867657,133.33561162638486,120.01961318097102
34,5804,5716,5726,5786,5795,5715,5823,5811,5767,-5.043123794776615,288.851157571184,213.581722746118,-218.8094976663589,86.78782604188042,-278.7611031931769,15.589134287226903,153.57004366444824,106.88713449604528
35,5805,5705,5758,5748,5800,5718,5815,5794,5742,-2.350204440812684,230.4816552981572,189.31648811456483,-187.4404738080452,74.50281692178258,-279.56612146545564,37.23845191944556,119.06572276125418,80.17003224802306
36,5789,5719,5746,5760,5799,5711,5802,5746,5731,-2.9331046469361417,210.0803515591181,68.81656857555207,-213.96230861892147,61.299724106309064,-274.2598695408522,41.268756738971135,107.18386929119349,96.38275356489171
37,5796,5733,5739,5773,5806,5709,5797,5783,5723,-9.750702719356534,208.11098609633115,42.052889969574245,-199.2773613771029,58.57319901666451,-255.27278020504323,37.0181438601493,111.12504003774556,79.70982402716908
38,5797,5759,5724,5776,5764,5686,5852,5768,5693,-0.9959753238361743,184.40994821332526,23.34605629553112,-211.56732626902257,50.51498941562987,-261.4412545439296,27.156125273852464,112.16227530672442,62.71862687016336
39,5786,5748,5765,5791,5772,5683,5842,5797,5716,-7.590507562345101,72.59049743152046,13.723903457939377,-195.9086068289646,58.19973250477322,-265.35392098215937,28.76285958785423,125.10811872946827,71.57782396178258
40,5833,5722,5778,5823,5758,5700,5862,5796,5700,-2.0590680450606675,64.55772494973151,12.81287283075129,-169.18995891855985,60.15458940337722,-158.87387197053647,12.563878171757278,99.19244333441696,59.311107130748944
