time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
33,4112,4734,4657,3379,4437,3985,4554,4246,3909,3828,4050,-4752.738906098809,6990.136062741878,-237.4844777865851,12491.405992356373,4264.7446269162565,5951.950646894024,1151.2711564873407,-311.770428618135,-13932.455468744343,8879.64714646374,-11765.540982036435
34,4218,4787,4749,3508,4525,4144,4644,4422,4041,3888,4109,-4770.372295141141,6898.2053746680895,-232.6012477935712,12455.05865005858,4218.5424185082975,5939.308666000314,1150.4480458072564,-309.2050992864335,-13908.310649812413,8427.148968266612,-11390.761584418991
35,4394,4887,4839,3629,4624,4281,4744,4546,4144,4021,4217,-4735.435458006795,6937.824401743632,-230.8991514668973,12405.789496145288,4152.477079429727,5867.213782147517,1135.8816500499706,-309.9553235354216,-14114.538852223926,8535.914133647026,-11292.487056577604
36,4541,5006,4938,3769,4747,4370,4841,4672,4237,4101,4342,-4723.6509982217885,7071.20844059061,-229.03032058367037,13026.979338563087,4176.472970163417,5867.564185934998,1127.074543089368,-312.0275284926749,-14239.280581430972,8553.329843474423,-11160.103315614564
37,4611,5041,5010,3875,4846,4467,4944,4793,4364,4211,4429,-4679.025501145224,7137.00129030802,-209.52666016120762,13147.103904747828,4134.755087956218,5787.243879132246,1131.891994735403,-311.8864610082441,-14270.97147469038,8490.180143574778,-11020.666564872863
38,4661,5130,5146,3986,4957,4592,5009,4880,4490,4357,4523,-4701.064341472631,7226.224411808379,-208.10612277860483,13375.315832777958,4147.795651070612,5776.83407362547,1139.7826538292352,-315.16379190431434,-14238.878946739898,8484.73280943366,-10702.842025639788
39,4763,5174,5207,4106,5066,4656,5105,5022,4606,4473,4598,-4706.924499324289,7263.6622590480965,-201.25276262852967,13364.362538739939,4179.079431086482,5785.824713880444,1137.9601998634073,-306.2106930538609,-14301.70623355471,8441.402582079163,-10672.799155309818
40,4852,5252,5287,4267,5159,4758,5168,5104,4672,4560,4691,-4700.942890756631,7287.772022718503,-192.58587909037124,13316.78861672619,4140.004341860051,5696.749337394929,1132.397359427822,-304.8270045470714,-14376.6082896065,8241.826579770117,-10537.553450955662
41,4949,5336,5374,4392,5265,4848,5234,5266,4779,4675,4810,-4684.969361244672,7223.324224967729,-183.5865999797818,13214.802364028674,4136.416976326818,5693.299651161647,1134.034446377105,-304.3969756705583,-14359.44127388082,8096.1664294943475,-10530.067912880038
42,5031,5420,5456,4508,5333,4978,5286,5349,4851,4751,4912,-4652.824674217123,7112.915237103314,-169.9160115834256,13196.881532588664,4097.329571927016,5678.7435440474155,1128.876220399982,-301.1557685853779,-14394.593283182645,7562.8096153017905,-10515.089511457278
