time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
74,700,837,507,737,623,803,-1.8781405796471853,-6.753472095078644,980.9980448788589,-235.80688654197596,33.96294813110109,-932.1028826405532
75,712,847,529,745,638,815,-0.8040907405672181,-6.385644369686483,988.8176574161686,-239.71624743593952,34.54860910492336,-931.7572300500368
76,722,860,549,745,647,817,-0.5108819753902188,-6.44335023729627,993.1078729762988,-242.51921802641687,35.24466229256021,-912.8365736358821
77,723,848,571,739,647,836,0.0716745388842576,-6.528738818168903,982.0943854953317,-246.19771651982657,37.150654914997226,-886.1370032839783
78,743,833,592,736,664,846,-0.3558430572664469,-6.935230555059576,978.8326181509333,-248.62865398265455,38.75805367283303,-886.0142012584176
79,752,841,604,738,697,851,-0.5952593457680299,-7.58776504736547,979.7778833370222,-249.65903486582334,41.73676086959694,-885.94216652364
80,743,839,590,728,701,864,-0.5351506030478876,-8.234253180598369,985.4627719624328,-252.26631236351452,44.72832726057163,-872.2706530995725
81,758,864,589,743,709,879,-0.6475867313165115,-8.579414020056548,984.6303624968181,-252.36429326752955,44.50877837732199,-833.8493426015004
82,783,866,599,742,687,861,-1.1015806869099511,-9.318921412361759,984.1766367044999,-255.85751111426282,44.50597159885896,-819.1686685955132
83,771,888,593,767,697,876,-1.2835876489854263,-8.796593948365093,983.3966136793763,-259.7916358418411,46.63465837156713,-819.5146509385738
84,783,902,593,779,710,869,-1.1294876024569798,-8.636451112710416,981.8852375715226,-260.64742056506714,47.385118472076414,-816.9799054008173
85,807,927,598,767,700,895,-0.09433248687681949,-8.01275042232901,979.8612389642408,-261.00060393253517,49.110125596028205,-798.4721902606115
86,778,925,586,752,715,899,0.08687921854653395,-7.298476014078007,982.9585880543252,-261.8245955230228,51.24135654533665,-798.4977521171963
87,773,927,583,740,720,916,0.5057237511075283,-7.370469537733759,973.7200889098125,-262.62336582479486,52.59672062961206,-794.8238022104429
88,765,920,606,726,712,911,0.17319960853364577,-7.693067514334972,957.6551322605584,-267.4471360133879,54.61072183351491,-783.8259106913196
89,751,923,625,748,720,909,-0.3501423771882947,-8.111482113737418,952.6717691753205,-270.3844199739456,57.42962250436244,-783.3500186754968
90,741,917,629,757,721,922,0.2157866956724863,-7.606346572331386,947.9113922487511,-273.99689931489524,58.82080760525053,-783.0276808493884
91,740,929,641,753,719,919,0.915580020829241,-7.659987054530334,953.7005223125719,-276.58018126909866,59.207641485710454,-782.8129341000902
92,759,943,629,753,739,932,0.30764234930594037,-7.2841693378213845,946.9068639142247,-277.20745397367807,60.4907835581437,-760.0169554420899
93,769,950,623,763,752,926,0.1755857074721561,-7.077260125359751,946.3128699878753,-283.5127196077985,61.14318960570719,-760.7027106205146
94,790,934,635,773,777,916,0.03162126209251324,-6.817490996681659,947.3315591599765,-286.9306946820159,61.53950740295133,-724.9838345825993
95,791,944,638,775,761,906,0.4340442785218151,-6.891013564844556,948.5348393806842,-288.92639651999826,61.759239750851215,-724.4726156175876
96,771,958,634,781,758,898,0.6863127953381872,-6.968925565263677,945.2367436623326,-291.83848914621274,62.46949172409818,-715.8262061176446
97,769,962,642,775,760,891,0.2837161123934771,-7.036190140371228,940.649619843775,-292.69872386107795,63.09458880070443,-715.9924793194388
98,767,957,640,773,759,903,1.0107966451470145,-7.3149102829538935,936.6242451776131,-295.90844970264055,64.2500883240792,-715.9489194117624
99,765,963,644,764,771,909,1.4265100752305835,-6.976841966436149,935.3524025022333,-296.45573056471886,65.95857953955705,-716.0011201220227
